ProductName,AVERAGE of PO Crearte to Release,AVERAGE of Pkg Start to Finish,AVERAGE of Release to Pkg Start,AVERAGE of BRR Start To Finish,AVERAGE of BRR Finish to QP Release
ALTUZAN ,27.5,2.5,7.25,9.5,1.25
AVASTIN ,26.36308068,1.535452323,7.123471883,5.233496333,1.328850856
BONDRONA ,21.16666667,-0.1060606061,11.60606061,5.325757576,1.386363636
BONIVA ,26.90909091,1.272727273,6.181818182,13.09090909,0.5454545455
BONVIVA ,20.8,0.1253333333,8.218666667,9.258666667,1.242666667
HERCEPTI ,23.50313152,1.526096033,7.496868476,5.807933194,1.244258873
MIRCERA ,23.0077821,1.301834352,6.941634241,7.806003335,1.296275709
NEORECOR ,28.36407433,1.410874054,10.53613214,5.373021335,1.323468685
PERJETA ,25.203125,1.28125,8.723958333,5.333333333,0.984375
RECORMON ,27.84452975,1.883877159,9.799424184,6.850287908,1.358925144
ROACTEM ,25.17738359,1.126385809,6.518847007,3.22616408,1.403547672
Grand Total,25.40482534,1.354795737,8.400236827,6.347986975,1.307874482